"dataset"	"p"	"q"	"gamma"	"beta"	"beta_corrected"	"R0"	"R0_corrected"	"gamma_bayes_mean"	"gamma_bayes_median"	"beta_bayes_mean"	"beta_bayes_median"	"R0_bayes_mean"	"R0_bayes_median"
1	0.6	1	0.0512444568924099	0.153770406881807	0.175002091352105	3.0007227358201	3.631358849502	0.0512444568924099	0.0512444568924099	0.172686830716905	0.167985898649173	3.36986361431186	3.278128188613
1	0.8	0	0.0507037892547727	0.165317988505662	0.165073363277242	3.26046614928491	3.73335826333761	0.0507037892547727	0.0507037892547727	0.177058689116519	0.172009717259454	3.49202084733445	3.39244304592606
1	0.8	0.2	0.0525039399097932	0.182366499452699	0.179086849726489	3.47338694517063	4.06766610351288	0.0525039399097932	0.0525039399097932	0.190788721448524	0.184866284709923	3.63379818307573	3.52099832941187
1	0.8	0.4	0.0500442172939273	0.165348630411167	0.174020956159383	3.30405068461789	4.02183264152911	0.0500442172939273	0.0500442172939273	0.181037644205897	0.177309882041827	3.61755371539931	3.54306434648431
1	0.8	0.6	0.0518896944711711	0.162692496933755	0.167001811067352	3.13535276304515	3.63139505374102	0.0518896944711711	0.0518896944711711	0.203316250631113	0.201387541157279	3.91823950214376	3.88107008934435
1	0.8	0.8	0.0502021699698178	0.165806783928824	0.181377622770126	3.30278121500543	4.00764658150063	0.0502021699698178	0.0502021699698178	0.1918504978975	0.186518255386153	3.82155787315256	3.71534249412506
1	0.8	1	0.0511351461628482	0.160489398456379	0.174212488537266	3.13853407097488	3.75600773150704	0.0511351461628482	0.0511351461628482	0.183840209940377	0.180444001536241	3.59518303428542	3.52876671089562
1	1	0	0.050665794638311	0.165259623235088	0.172808596888648	3.26175922858471	3.8780392948139	0.0501909124515469	0.0485636196460836	0.180427818899991	0.177703715056977	3.87368223819882	3.62262930453728
1	1	0.2	0.050665794638311	0.165259623235088	0.179083923940018	3.26175922858471	3.93543730466947	0.0497681046603301	0.0484725246604639	0.176325473315293	0.171940189497157	3.84958163109773	3.59503554483362
1	1	0.4	0.050665794638311	0.165259623235088	0.172610834010697	3.26175922858471	3.94714420177584	0.0509856568830361	0.0500387151012714	0.179228692543738	0.174356342325566	3.76802925203749	3.51596580438625
