"beta"	"gamma"	"sample_size"	"not_beta"	"not_gamma"	"not_r0"	"jitter_beta"	"jitter_gamma"	"jitter_r0"
0.4	0.05	200	0.351781147000715	0.0478719764361894	7.3483731650315	0.355084165711271	0.0479033573773166	7.41251104623853
0.4	0.1	193	0.396795706670706	0.0991046472377177	4.00380524758774	0.394492932770146	0.0989792785953523	3.98561131550488
0.4	0.2	157	0.405380788629744	0.195329850166938	2.07536527716213	0.410704853923079	0.197578829568404	2.07868856607883
0.5	0.05	200	0.65036970302576	0.0506583711252813	12.8383461327123	0.655332935606132	0.0508087277009686	12.8980386886098
0.5	0.1	198	0.482329002649961	0.105745304040983	4.56123330510289	0.488428414012087	0.106199143838276	4.59917468596437
0.5	0.2	186	0.496631931790401	0.175774742439373	2.82538847674146	0.493873388528166	0.173743149511054	2.84254884246095
0.2	0.05	190	0.204414495452147	0.0577171513036598	3.54165946923969	0.204662664354374	0.0576440790166203	3.55045423304212
0.2	0.1	154	0.195794639159189	0.0992176202408676	1.97338576236624	0.195117708384266	0.0986596569459873	1.97768484529686
0.2	0.2	15	0.22984390150752	0.235250879251219	0.977016120998535	0.229022153150309	0.234573456369248	0.976334478312839
0.3	0.05	200	0.285228629381747	0.0474021661790387	6.0172066463046	0.283585175386652	0.0473767368926007	5.98574730947631
0.3	0.1	168	0.276799672402884	0.114401077985386	2.41955475662775	0.275798381154008	0.114265290752792	2.41366717169333
0.3	0.2	127	0.289856941130113	0.186791090518186	1.55177069915919	0.290903393040226	0.186670249856722	1.55838111998836
0.4	0.05	199	0.351797034876828	0.0513489437416493	6.85110557768852	0.351396286358105	0.0514885410305254	6.82474739670283
0.4	0.1	196	0.405516606421158	0.0958363821664165	4.23134301665304	0.407166727113105	0.0964943371295398	4.21959193902228
0.4	0.2	156	0.380928537616877	0.199009832868483	1.91411917756152	0.379791224913809	0.196924393402458	1.92861442075194
0.5	0.05	200	0.49725000762333	0.0498011680919446	9.98470571423727	0.491922437074852	0.0497041865827383	9.89700206150624
0.5	0.1	199	0.495670312937191	0.10378101335252	4.77611748936692	0.498516675888222	0.104090794971859	4.78924842511766
0.5	0.2	168	0.453272334366525	0.199269626198616	2.27466846309402	0.454693110817158	0.201046454791566	2.26163207547509
0.2	0.05	192	0.203771912978916	0.0502855490701114	4.0522956743458	0.203804436622625	0.0502347283720915	4.05704267201434
0.2	0.1	157	0.207934030528851	0.105723543897066	1.96677128730472	0.209295469298961	0.106444028659987	1.96624904124506
0.2	0.2	57	0.207585821433436	0.176180511073173	1.17825643806436	0.207310687300622	0.176064276818095	1.17747160893297
0.3	0.05	200	0.302370856467089	0.0545180068744143	5.54625661872818	0.301945462137088	0.0545838957945079	5.53176825768946
0.3	0.1	183	0.270140160274595	0.104945561446709	2.57409800424738	0.268554915380673	0.104249978718117	2.57606686047221
0.3	0.2	149	0.345784252205561	0.191484782248648	1.80580539166058	0.352967469911952	0.196977067520057	1.7919216401981
0.4	0.05	200	0.455219861136048	0.0469849813809089	9.68862491283257	0.45431303809675	0.0469050808119858	9.68579587183355
0.4	0.1	200	0.433546789001663	0.0964028348976553	4.49724107659212	0.435337208779857	0.0961931064394701	4.52565911314855
0.4	0.2	161	0.388598326870592	0.18628860531189	2.08600158995226	0.38628189671189	0.186116531572559	2.07548407144744
0.5	0.05	200	0.542822086295229	0.0483339850148509	11.2306503618198	0.541738484899917	0.0482456765772803	11.2287467672291
0.5	0.1	198	0.512651986944195	0.0934512132893572	5.4857713335069	0.509355932602827	0.0931960121965591	5.46542626232276
0.5	0.2	188	0.557763060544243	0.1946728251541	2.86513055996761	0.569976149072664	0.196761524039827	2.89678661442617
0.2	0.05	198	0.199221596949357	0.0486364193980293	4.09614028777434	0.200013814735956	0.0485716320484165	4.11791422895942
0.2	0.1	142	0.182963031460133	0.11129329651987	1.64397171421252	0.182271178699802	0.111153839247237	1.6398100140687
0.2	0.2	18	0.147166835029272	0.147005570518907	1.00109699591516	0.144602422696666	0.144375600282964	1.00157105780518
0.3	0.05	200	0.335880544060226	0.0466339886357712	7.20248372241067	0.334126780550587	0.0466061050763689	7.16916335323635
0.3	0.1	196	0.345716250666984	0.0968545538595241	3.5694372323309	0.344060415529262	0.0962828213800184	3.57343512163287
0.3	0.2	18	0.279323509156447	0.279694602377189	0.998673219942079	0.278784376205267	0.27923857876307	0.998373424761668
0.4	0.05	200	0.352938402412405	0.0452831916082169	7.79402665487832	0.355783508559109	0.0452049460251986	7.87045533382088
0.4	0.1	197	0.386056423401505	0.101091369505712	3.81888607592453	0.390314563734157	0.10136503257706	3.85058391252852
0.4	0.2	158	0.443493694104092	0.209360230122146	2.11832827010817	0.4461244916466	0.211438519781899	2.10994899182411
0.5	0.05	200	0.486349274104101	0.0530020478590136	9.17604684629921	0.48663453056579	0.0531468643971449	9.15641093949341
0.5	0.1	199	0.496533037958893	0.0950093716398698	5.22614800401993	0.490111494952627	0.0943701227262273	5.19350278238449
0.5	0.2	166	0.460406286150658	0.21711636076563	2.12055086280509	0.460047352498854	0.215937363712283	2.13046665287544
0.2	0.05	199	0.201589959336713	0.0468259770824923	4.30508815612275	0.201032886413507	0.0467351393232761	4.3015360459915
0.2	0.1	176	0.207129730243559	0.0913348015613362	2.26780730567921	0.20661249432883	0.0909758659832824	2.27106927860183
0.2	0.2	74	0.232076294667387	0.185299492327189	1.25243891255569	0.231786590664302	0.185169361291615	1.25175455079348
0.3	0.05	200	0.315613129217227	0.0523910399879849	6.024181411356	0.314706806897346	0.0521986190194895	6.02902553379512
0.3	0.1	182	0.257894862251446	0.103058041526938	2.50242347351453	0.258358949268906	0.103242673906506	2.50244341310716
0.3	0.2	120	0.315880057528311	0.203601654264488	1.55146115422995	0.318040884297782	0.204985499782207	1.55152869171573
0.4	0.05	200	0.418350502060388	0.0465539112764683	8.98636635654397	0.415615286617122	0.0464940456717359	8.93910780643848
0.4	0.1	200	0.391533711751295	0.0968252442581848	4.04371519794228	0.395981416551137	0.0976283913812719	4.05600677168485
0.4	0.2	21	0.257719529637546	0.25284543664315	1.01927696643098	0.257092175914014	0.252290768428815	1.01903124523779
0.5	0.05	200	0.491257667992333	0.0504950966567259	9.72881924223225	0.487916075650478	0.0503422478241257	9.69198032942526
0.5	0.1	197	0.473292634370978	0.103646189894251	4.56642578809576	0.474566353570914	0.104114509370535	4.55811929038604
0.5	0.2	178	0.535779363994787	0.223222947049311	2.40019841632335	0.538981613948146	0.223169704290185	2.41511998979626
0.2	0.05	198	0.203002732628116	0.0483511120666119	4.19851217379334	0.20302813999614	0.0483472793301222	4.19937052941148
0.2	0.1	146	0.200958530505734	0.114534697586532	1.75456464058769	0.200808782776538	0.114594744785453	1.75233849643364
0.2	0.2	70	0.251946124669982	0.205176907278167	1.22794581521013	0.252847231709161	0.205629783424033	1.22962358613081
0.3	0.05	199	0.306403101153339	0.0498045033717361	6.15211638325906	0.30694281866586	0.0497556218575026	6.169007786596
0.3	0.1	192	0.311692233891834	0.0938700542684581	3.32046504416018	0.313816325159815	0.0939331816183495	3.34084633090414
0.3	0.2	146	0.36203258180365	0.200923908091982	1.80183923974798	0.353891958055632	0.196862205617995	1.79766327896554
0.4	0.05	200	0.415600827518635	0.0455785845490384	9.11833554355963	0.411758359147443	0.045683122194222	9.0133585309001
0.4	0.1	196	0.485117447453742	0.105652488275005	4.59163295985061	0.479610306617254	0.105378151974809	4.55132584534133
0.4	0.2	165	0.427919209799561	0.195604129055344	2.18767984022713	0.424843106801412	0.193406366327576	2.19663455173883
0.5	0.05	200	0.500091786047398	0.0515353353560541	9.70386207040855	0.499499556767966	0.0514687795823185	9.7049038430972
0.5	0.1	198	0.461384585464864	0.109875253716718	4.19916741811958	0.466604133733414	0.110455227860995	4.22437346578673
